Returned,Order ID,Region
Yes,IN-2017-CA120551-42816,Southern Asia
Yes,IN-2017-AA103751-42926,Southern Asia
Yes,IN-2017-TS212051-42904,Southern Asia
Yes,AG-2014-RO97803-41695,North Africa
Yes,AG-2015-LC70503-42265,North Africa
Yes,AG-2014-DB32103-41987,North Africa
Yes,AG-2017-AC4203-42796,North Africa
Yes,AG-2017-RD96603-43073,North Africa
Yes,AG-2015-CP23403-42152,North Africa
Yes,AG-2016-HF49953-42437,North Africa
Yes,AG-2015-CC24303-42247,North Africa
Yes,AG-2017-MO78003-42948,North Africa
Yes,AO-2017-BE14554-42954,Central Africa
Yes,AO-2017-GM45004-42996,Central Africa
Yes,AO-2016-IG50854-42668,Central Africa
Yes,US-2017-SR204255-42937,South America
Yes,US-2014-JP155205-41883,South America
Yes,MX-2016-LC171405-42457,South America
Yes,US-2016-JK152055-42585,South America
Yes,US-2014-JC153405-41897,South America
Yes,US-2017-CA119655-43061,South America
Yes,US-2016-AJ109455-42595,South America
Yes,US-2016-NB185805-42648,South America
Yes,US-2017-MC181305-43049,South America
Yes,US-2017-AA106455-43045,South America
Yes,US-2016-JB160005-42392,South America
Yes,US-2016-JB160005-42392,South America
Yes,US-2015-EA140355-42162,South America
Yes,US-2017-LL168405-42939,South America
Yes,US-2017-EH141855-43033,South America
Yes,MX-2014-AF108855-41725,South America
Yes,US-2014-KE164205-41911,South America
Yes,IN-2015-EH140057-42051,Oceania
Yes,ID-2015-JE157157-42132,Oceania
Yes,ID-2015-RW195407-42317,Oceania
Yes,ID-2017-TZ214457-42773,Oceania
Yes,IN-2016-CR126257-42659,Oceania
Yes,ID-2016-EH137657-42506,Oceania
Yes,ID-2017-MG176957-42995,Oceania
Yes,ID-2017-KL166457-42933,Oceania
Yes,ID-2016-BD116207-42522,Oceania
Yes,IN-2017-NS186407-42856,Oceania
Yes,IN-2015-SW207557-42232,Oceania
Yes,IN-2017-EM139607-42861,Oceania
Yes,IN-2014-SC206807-41875,Oceania
Yes,ID-2015-DP131057-42280,Oceania
Yes,IN-2016-CC124757-42444,Oceania
Yes,IN-2016-SF202007-42527,Oceania
Yes,ID-2014-PW190307-41854,Oceania
Yes,IN-2017-CR125807-42968,Oceania
Yes,IN-2014-BP112907-41877,Oceania
Yes,IN-2014-PG188207-41996,Oceania
Yes,IN-2017-DM130157-43078,Oceania
Yes,IN-2017-BE114557-42811,Oceania
Yes,IN-2016-SG206057-42444,Oceania
Yes,ID-2016-GT147107-42734,Oceania
Yes,IN-2014-TC215357-41900,Oceania
Yes,IN-2017-DJ135107-42738,Oceania
Yes,IN-2016-OT187307-42675,Oceania
Yes,IN-2014-TS211607-41909,Oceania
Yes,IN-2016-DL133307-42545,Oceania
Yes,ID-2017-CJ118757-42792,Oceania
Yes,ID-2017-CJ118757-42792,Oceania
Yes,IN-2014-AH100757-41918,Oceania
Yes,IN-2015-CC126107-42271,Oceania
Yes,IN-2017-TC209807-42871,Oceania
Yes,IN-2016-PJ190157-42618,Oceania
Yes,IN-2014-ML180407-41688,Oceania
Yes,IN-2016-SC208457-42499,Oceania
Yes,IN-2017-TZ215807-42855,Oceania
Yes,IN-2014-JM161957-41924,Oceania
Yes,ID-2017-BM117857-42862,Oceania
Yes,IN-2014-BS117557-41839,Oceania
Yes,ID-2014-SS208757-41661,Oceania
Yes,ID-2016-BM117857-42399,Oceania
Yes,ID-2017-PS190457-43011,Oceania
Yes,ID-2015-JC161057-42261,Oceania
Yes,IN-2017-DP131057-43002,Oceania
Yes,ID-2017-KC166757-42799,Oceania
Yes,IN-2014-RR193157-41811,Oceania
Yes,IN-2014-SG206057-41708,Oceania
Yes,IN-2015-TP214157-42033,Oceania
Yes,ID-2017-ME177257-42812,Oceania
Yes,IN-2014-DB136607-41937,Oceania
Yes,ID-2016-MJ177407-42679,Oceania
Yes,ID-2016-TS216107-42619,Oceania
Yes,ID-2016-ML177557-42506,Oceania
Yes,IN-2015-CS121757-42124,Oceania
Yes,IN-2016-NM185207-42665,Oceania
Yes,ID-2016-TN210407-42665,Oceania
Yes,IN-2015-MH180257-42173,Oceania
Yes,IN-2015-RD198107-42166,Oceania
Yes,IN-2014-DW135857-41791,Oceania
Yes,IN-2016-HG149657-42595,Oceania
Yes,IN-2015-MD178607-42232,Oceania
Yes,IN-2017-LS172307-42974,Oceania
Yes,IN-2014-AG103007-41844,Oceania
Yes,IN-2017-MG176807-43064,Oceania
Yes,IN-2017-AG103907-42860,Oceania
Yes,IN-2014-LE168107-41932,Oceania
Yes,IN-2016-BW110657-42694,Oceania
Yes,IN-2015-RW195407-42303,Oceania
Yes,ID-2016-BK112607-42518,Oceania
Yes,IN-2016-ML177557-42653,Oceania
Yes,IN-2014-HD147857-41895,Oceania
Yes,IN-2017-ME177257-42746,Oceania
Yes,IN-2017-PN187757-42834,Oceania
Yes,ID-2016-SA208307-42399,Oceania
Yes,ID-2017-CC126107-42814,Oceania
Yes,IN-2015-LO171707-42321,Oceania
Yes,IN-2017-MH177857-42923,Oceania
Yes,IN-2014-PJ188357-41932,Oceania
Yes,ID-2017-KT164657-43003,Oceania
Yes,IN-2016-CC121457-42664,Oceania
Yes,IN-2016-Dl136007-42734,Oceania
Yes,IN-2016-TG216407-42387,Oceania
Yes,IN-2014-LP170807-41777,Oceania
Yes,IN-2017-CC126107-42868,Oceania
Yes,IN-2017-KW164357-43059,Oceania
